URL;ID;Name;Subtitle;Icon_URL;Average_User_Rating;User_Rating_Count;Price;Developer;Age_Rating;Languages;Size;Primary_Genre;Genres;Original_Release_Date;Current_Version_Release_Date
https//apps.apple.com/us/app/sniper-killer-shooting-assass/id1364808491;1364808491;Sniper Killer Shooting Assass;Sniper Killer Shooting Assass;https//is1-ssl.mzstatic.com/image/thumb/Purple118/v4/10/9c/6b/109c6b45-fde1-3379-8354-eff93a66861b/source/512x512bb.jpg;;;0;Nguyen Trong Xuan;17+;EN;136802304;Games;Games, Trivia, Strategy, Entertainment;28/03/2018;28/03/2018
https//apps.apple.com/us/app/many-lines/id1364821555;1364821555;Many Lines;;https//is3-ssl.mzstatic.com/image/thumb/Purple128/v4/0c/59/c3/0c59c3a3-1129-3588-185a-a8cd595a91d1/source/512x512bb.jpg;;;0;Tylcham studios s.r.o.;4+;EN;95699968;Games;Games, Strategy;03/04/2018;18/04/2018
https//apps.apple.com/us/app/gomoku-nova/id1364847153;1364847153;Gomoku nova;;https//is5-ssl.mzstatic.com/image/thumb/Purple128/v4/df/28/db/df28db3e-8d73-0149-412d-687674529884/source/512x512bb.jpg;;;1.99;Erwin Hoegger;4+;EN, FR, DE, IT, PT, ES;11132928;Games;Games, Strategy;02/04/2018;01/12/2018
https//apps.apple.com/us/app/idle-movings/id1365057095;1365057095;Idle Movings;Grow your business, get Rich !;https//is1-ssl.mzstatic.com/image/thumb/Purple113/v4/fe/74/73/fe74737f-442f-ba7b-fb5c-51db34b6d77f/source/512x512bb.jpg;3;7;0;Henrique Silva;4+;EN;234067968;Games;Games, Entertainment, Strategy, Simulation;05/08/2018;31/07/2019
https//apps.apple.com/us/app/squires-dice/id1365242296;1365242296;Squires Dice;Up For A Game Of Dice?;https//is1-ssl.mzstatic.com/image/thumb/Purple113/v4/68/11/4f/68114ffe-c50c-6f09-e013-d1a6ef8238db/source/512x512bb.jpg;4.5;27;0;Aaron VANDERPOEL;4+;EN;144860160;Games;Games, Board, Strategy;29/03/2018;20/05/2019
https//apps.apple.com/us/app/death-well-stunt-rider/id1365325760;1365325760;Death Well Stunt Rider;Death Well Stunt;https//is5-ssl.mzstatic.com/image/thumb/Purple118/v4/e9/c8/8c/e9c88c7d-2f68-73f3-8774-c41ff38c22e0/source/512x512bb.jpg;;;0;NGO HAI YEN;4+;EN;131561472;Games;Games, Racing, Entertainment, Strategy;29/03/2018;29/03/2018
https//apps.apple.com/us/app/battleship-empire/id1365476387;1365476387;Battleship Empire;WW2 Naval Battles and Warships;https//is4-ssl.mzstatic.com/image/thumb/Purple128/v4/bf/f2/48/bff24877-c79a-bf30-1a18-f7aabcb3f535/source/512x512bb.jpg;4;46;0;Oasis Games;4+;EN;334195712;Games;Games, Strategy, Card;21/06/2018;24/10/2018
https//apps.apple.com/us/app/ball-prodigy-slide-puzzles/id1365527691;1365527691;Ball Prodigy - Slide Puzzles;The block slider for all ages;https//is4-ssl.mzstatic.com/image/thumb/Purple125/v4/fe/c6/d4/fec6d44e-123b-1b20-6d66-2d25074fd397/source/512x512bb.jpg;;;0;Born Royal LLC;4+;EN;118439936;Games;Games, Entertainment, Puzzle, Strategy;26/06/2018;26/06/2018
https//apps.apple.com/us/app/bottle-chain/id1365583745;1365583745;Bottle Chain;Bottle Flip Challenge;https//is5-ssl.mzstatic.com/image/thumb/Purple115/v4/47/34/09/47340914-1687-d8e7-6aca-68653a8c422f/source/512x512bb.jpg;;;0;roshan khunt;12+;EN;34348032;Games;Games, Strategy, Casual;02/04/2018;31/05/2018
https//apps.apple.com/us/app/survival-city-zombie-defence/id1365647361;1365647361;Survival City - Zombie Defence;Build,Fight, Survive the Night;https//is4-ssl.mzstatic.com/image/thumb/Purple123/v4/00/83/47/008347c1-7b80-2c68-d1cc-541b9ccf6335/source/512x512bb.jpg;4;283;0;PlayStack Ltd;9+;EN, FR, DE, IT, RU, ES, TR;208632832;Games;Games, Action, Strategy;31/10/2018;23/07/2019
