ID,Name,Subtitle,Average User Rating,User Rating Count,Price,Age Rating,Languages,Size,Primary Genre,genero_1,genero_2,genero_3,genero_4,Current Version Release Date
1132629520,3xO  Shape Switch,,,,0,4+,EN,46835712,Games, Board, News, Strategy,,12/07/2016
1094205637,4 Coins 2,,,,0,4+,EN,86830080,Games, Strategy, Board,,,3/07/2019
1095998767,4 Coins 2 Premium,,,,1.99,4+,EN,86830080,Games, Strategy, Board,,,2/07/2019
1099044085,4 in a line king,,,,0,4+,"EN, ZH, ZH",22468608,Games, Board, Strategy,,,29/01/2019
1227305415,4 in a Rotation,,,,0,4+,EN,37001216,Games, Strategy, Board, Entertainment,,24/04/2017
1094579277,4 in a Row Multiplayer Online  2 player free deluxe board game play with friends,,3.5,54,0,4+,"AR, CA, CS, DA, NL, EN, FI, FR, DE, EL, HE, HU, ID, IT, JA, KO, MS, NB, PL, PT, RO, RU, ZH, SK, ES, SV, TH, ZH, TR, UK, VI",31943680,Games, Entertainment, Strategy, Board,,25/03/2016
1441517950,4 in row classic,Classic fourinarow strategy,4,5,0,4+,"EN, ES",75872256,Games, Strategy, Board,,,17/11/2018
1287198169,41 Holes,The Best Golf game available,,,1.99,4+,EN,18789376,Games, Board, Strategy, Sports,,27/02/2018
1462333087,420 USA,420 Safe Zones,,,0,17+,EN,62215168,Games, Social Networking, Board, Strategy,,16/05/2019
1195415658,49 District,,,,11.99,4+,EN,70571008,Games, Board, Education, Strategy,,24/02/2017
1302866568,4Scouts,,,,0,4+,"NL, EN",47216640,Games, Sports, Strategy,,,30/10/2018
1225367603,4Set Logic,,,,0.99,4+,EN,33968128,Games, Strategy,,,,8/05/2017
1314134938,5 Elements Multiplayer Match3,Match3 MOBA RPG combination,,,0,12+,EN,845382656,Games, Strategy, Role Playing, Entertainment,,5/06/2019
1224395501,5 for 5 Baseball,,5,21,0,12+,EN,53153792,Games, Strategy, Sports, Sports,,29/04/2019
1142088806,5 Nights of Nightmares  Horror Game,,,,2.99,12+,"DA, NL, EN, FI, FR, DE, EL, ID, IT, JA, KO, MS, NB, PL, PT, RU, ZH, ES, SV, TH, ZH, TR, VI",92003328,Games, Entertainment, Adventure, Strategy,,6/09/2016
1138446191,50 Moves,,,,0.99,4+,EN,2305024,Games, Entertainment, Strategy, Puzzle,,2/09/2016
1452482650,GameBOX,,,,0.99,4+,EN,15253504,Games, Strategy, Entertainment, Puzzle,,6/06/2019
1426508574,5Balls,a strategy game for fun,,,0,4+,EN,8518656,Games, Strategy, Education, Board,,12/01/2019
1391501478,5eiry  Premium,5 in a row meets Coolki,,,1.99,4+,EN,2747392,Games, Casual, Strategy, Education,,3/08/2018
1125786375,5th Element Red Alert,,,,2.99,4+,EN,7570432,Games, Entertainment, Simulation, Strategy,,20/06/2016
1159222626,6  Hexagon Flip Six Puzzle and kids game,,,,0,4+,EN,64390144,Games, Puzzle, Entertainment, Strategy,,13/10/2016
1375392468,6 Dots,,,,0,4+,EN,51250176,Games, Strategy, Puzzle,,,12/05/2018
1219135286,6 Flip  The Six Block Puzzle,,4.5,7,0,4+,EN,87642112,Games, Entertainment, Casual, Strategy,,31/03/2017
1437320869,60 Second Escape,Only 1 Escape,,,0,9+,EN,125583360,Games, Strategy, Adventure,,,12/10/2018
1316470858,60 squares  Use your head,An addictive puzzle game,,,0,4+,"EN, PL",32738304,Games, Puzzle, Strategy,,,26/11/2017
1453134934,64K Challenge,Take on the Challenge,,,0,4+,EN,121177088,Games, Strategy, Education, Puzzle,,21/02/2019
919626983,7 & 17  Dice Block Puzzle,Tetris like match & clear,,,0,4+,"EN, FR",28582912,Games, Education, Puzzle, Strategy,,3/04/2019
530090434,7 Wonders,Card Game with No Downtime,4,230,4.99,4+,"NL, EN, FR, DE, IT, PL, ES",521525248,Games, Strategy, Entertainment, Card,,20/05/2019
1126269387,7 Wonders of The World  The Jewel Kingdom,,,,0,4+,"CS, NL, EN, FR, DE, IT, JA, KO, PL, PT, RU, ZH, ES, SV, ZH, TR",32932864,Games, Entertainment, Strategy, Puzzle,,9/12/2016
1164771821,75  Dot Battle,,5,41,0,4+,"EN, JA",26457088,Games, Strategy, Casual,,,25/10/2016
