ID;Size;Genero_1;Genero_2;Genero_3;Original Release Date;Current Version Release Date
1156112084;447027200; Board; Strategy; Entertainment;29/11/2016;08/06/2017
1156215740;5214208; Entertainment; Puzzle; Strategy;01/10/2016;01/10/2016
1156229505;326776832; Simulation; Strategy; Entertainment;28/09/2016;01/10/2016
1156295515;20062208; Puzzle; Strategy;;22/09/2016;22/09/2016
1156304181;60828672; Racing; Strategy;;21/09/2016;21/09/2016
1156325738;840704; Board; Productivity; Strategy;24/09/2016;09/10/2016
1156361343;5558272; Strategy; Entertainment; Puzzle;01/10/2016;01/10/2016
1156361690;5214208; Entertainment; Strategy; Puzzle;02/10/2016;02/10/2016
1156362367;5672960; Adventure; Strategy; Entertainment;24/10/2016;24/10/2016
1156364215;6574080; Entertainment; Strategy; Adventure;02/10/2016;02/10/2016
1156365163;6455296; Entertainment; Strategy; Sports;02/10/2016;02/10/2016
1156366707;6541312; Sports; Entertainment; Strategy;09/10/2016;09/10/2016
1156368269;6447104; Adventure; Entertainment; Strategy;09/10/2016;09/10/2016
1156368820;6504448; Strategy; Adventure; Entertainment;16/10/2016;16/10/2016
1156379312;40543232; Puzzle; Strategy; Sports;27/09/2016;14/01/2019
1156555010;56547328; Business; Board; Strategy;14/10/2016;08/04/2019
1156706863;398352384; Finance; Strategy;;20/10/2016;20/10/2016
1156709512;128456704; Strategy; Puzzle; Education;23/09/2016;31/03/2017
1156787368;180568064; Simulation; Strategy;;29/09/2016;29/07/2019
1156789859;36622336; Entertainment; Strategy; Trivia;22/09/2016;22/09/2016
1156906605;86454272; Strategy; Casual; Entertainment;19/10/2016;09/01/2017
1156975593;26348544; Strategy; Casual;;23/09/2016;23/09/2016
1157014123;21316608; Strategy; Puzzle; Entertainment;30/09/2016;30/10/2016
1157027441;16740352; Entertainment; Strategy; Puzzle;23/09/2016;23/09/2016
1157285304;138584064; Strategy; Entertainment; Puzzle;23/09/2016;23/09/2016
1157287234;59625472; Entertainment; Strategy; Casual;23/09/2016;23/09/2016
1157319899;201596928; Strategy; Card;;06/10/2016;12/10/2016
1157425265;50470912; Strategy;;;24/09/2016;24/09/2016
1157446651;542406656; Family; Strategy;;12/11/2017;20/06/2019
1157452880;462136320; Strategy; Card;;25/09/2016;03/04/2019
1157526306;69620736; Entertainment; Puzzle; Strategy;31/07/2017;26/02/2019
1157641840;22654976; Strategy; Photo & Video; Sports;11/10/2016;26/02/2017
1157654356;50914304; Racing; Strategy;;21/10/2016;21/10/2016
1157671953;7905280; Entertainment; Strategy; Puzzle;13/11/2016;07/12/2016
1157835628;192565248; Entertainment; Simulation; Strategy;29/09/2016;03/10/2016
1157871395;153174016; Strategy; Entertainment; Role Playing;11/10/2016;17/04/2017
1157986223;13715456; Strategy; Education; Puzzle;26/09/2016;22/01/2019
1158039590;578812928; Strategy; Puzzle; Business;19/11/2016;14/04/2017
1158470526;149934080; Strategy;;;26/09/2016;18/09/2018
1158483804;69426176; Strategy; Puzzle; Education;26/09/2016;06/02/2019
1158515371;21726208; Strategy; Casual; Entertainment;28/09/2016;28/09/2016
1158534464;183562240; Simulation; Entertainment; Strategy;17/01/2017;17/09/2018
1158555873;46020608; Word; Strategy;;07/10/2016;07/10/2016
1158565442;29942784; Strategy; Casual;;27/09/2016;27/09/2016
1158601233;20051968; Entertainment; Strategy; Trivia;30/09/2016;30/09/2016
1158644882;27778048; Entertainment; Strategy; Adventure;27/09/2016;27/09/2016
1158644900;33809408; Strategy; Puzzle; Entertainment;27/09/2016;27/09/2016
1158644904;11749376; Puzzle; Strategy; Entertainment;27/09/2016;27/09/2016
1158645817;16591872; Strategy; Entertainment; Adventure;27/09/2016;27/09/2016
1158672426;41784320; Board; Strategy;;27/09/2016;29/11/2018
1158675923;60129280; Strategy; Action;;29/09/2016;29/09/2016
1158709529;60188672; Strategy; Action;;29/09/2016;29/09/2016
1158719434;6545408; Simulation; Strategy; Entertainment;27/09/2016;27/09/2016
1158825908;162777088; Card; Strategy;;12/10/2016;29/11/2016
1158838395;65277952; Strategy; Sports; Sports;22/11/2016;15/03/2017
1158868406;26128384; Strategy; Entertainment; Trivia;17/10/2016;17/10/2016
1158916186;317664256; Simulation; Strategy;;28/09/2016;28/09/2016
1158939121;22725632; Education; Strategy; Music;28/09/2016;05/01/2018
1159202815;491206656; Strategy; Entertainment; Role Playing;11/10/2016;31/07/2019
1159222626;64390144; Puzzle; Entertainment; Strategy;08/10/2016;13/10/2016
1159234304;203699200; Strategy; Puzzle;;02/11/2016;07/04/2017
1159285323;107738112; Action; Entertainment; Strategy;05/02/2017;07/02/2017
1159292704;477555712; Strategy; Role Playing; Entertainment;09/11/2016;11/07/2019
1159338046;27572224; Board; Strategy;;30/09/2016;30/09/2016
1159441255;377006080; Role Playing; Strategy;;29/05/2019;08/07/2019
1159510714;76467200; Strategy; Card;;29/10/2016;23/01/2019
1159554605;6194176; Education; Puzzle; Strategy;29/09/2016;29/09/2016
1159563928;43524096; Entertainment; Strategy; Board;03/10/2016;08/10/2016
1159601581;23193600; Entertainment; Puzzle; Strategy;29/09/2016;29/09/2016
1159668827;148809728; Casual; Entertainment; Strategy;14/10/2016;14/10/2016
1159671327;12215296; Action; Strategy;;03/10/2016;05/04/2017
1159689330;36059136; Family; Strategy;;30/09/2016;05/05/2017
1159788307;22360064; Strategy; Casual;;30/09/2016;03/10/2016
1159840538;304375808; Strategy; Entertainment; Role Playing;12/11/2016;11/10/2018
1159869280;65157120; Puzzle; Strategy;;12/10/2016;29/10/2016
1160024697;18039808; Entertainment; Strategy; Puzzle;05/10/2016;10/12/2017
1160045528;112191488; Entertainment; Casual; Strategy;17/11/2016;20/01/2017
1160054151;53777408; Board; Strategy;;08/10/2016;19/01/2019
1160056295;252019712; Entertainment; Action; Strategy;12/11/2016;23/07/2019
1160080688;132984832; Strategy; Entertainment; Action;21/10/2016;21/10/2016
1160138132;82399232; Action; Strategy;;03/10/2016;03/10/2016
1160192083;14150656; Strategy; Sports;;16/10/2016;16/10/2016
1160194568;14150656; Sports; Strategy;;23/10/2016;23/10/2016
1160223846;30334976; Strategy; Entertainment; Puzzle;05/10/2016;01/11/2016
1160253090;208580608; Simulation; Strategy;;09/10/2016;09/10/2016
1160255180;57749504; Entertainment; Casual; Strategy;30/09/2016;30/09/2016
1160269706;49084416; Strategy; Casual;;01/10/2016;01/10/2016
1160288548;96063488; Strategy; Sports; Casual;01/10/2016;01/10/2016
1160308423;405989376; Strategy; Role Playing;;22/02/2017;15/11/2017
1160328096;554543104; Strategy; Casual; Sports;26/10/2016;18/11/2016
1160349772;61825024; Action; Strategy;;03/10/2016;03/10/2016
1160354175;110230528; Strategy; Sports;;03/10/2016;22/02/2019
1160361678;172744704; Strategy; Casual;;05/07/2017;13/07/2017
1160404169;80629760; Strategy; Entertainment; Trivia;07/12/2016;15/04/2019
1160439250;79398912; Entertainment; Strategy; Casual;01/10/2016;05/10/2016
1160692403;21699584; Adventure; Strategy;;21/10/2016;21/10/2016
1160711625;6643712; Entertainment; Strategy; Puzzle;02/10/2016;02/10/2016
1160711688;6688768; Puzzle; Strategy; Entertainment;02/10/2016;02/10/2016
1160711702;53829632; Simulation; Strategy; Entertainment;02/10/2016;02/10/2016
1160738363;52581376; Casual; Strategy;;09/10/2016;09/10/2016
1160761293;171776000; Puzzle; Strategy;;27/01/2017;08/02/2017
1160925301;148500480; Strategy; Role Playing;;24/01/2019;17/07/2019
1160939879;73304064; Simulation; Entertainment; Strategy;27/10/2016;23/02/2017
1161069526;87154688; Entertainment; Family; Strategy;28/10/2016;28/10/2016
1161103131;93495296; Action; Strategy;;04/10/2016;04/10/2016
1161112771;24891392; Strategy; Racing;;03/10/2016;11/06/2019
1161112776;18856960; Strategy; Racing;;04/10/2016;04/10/2016
1161119826;111357952; Entertainment; Strategy; Simulation;03/10/2016;16/06/2017
